"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Inloggning","1","0","","0"
"0","","0","","4","0","","0"
"0","","0","Ansök om Privatlån","1","0","","0"
